select,s ə l ɛ k t,23
sentiment,s ɛ n t ə m ə n t,23
settle,s ɛ t ə l,23
sharing,ʃ ɛ ɹ ɪ ŋ,23
sheep,ʃ i p,23
sink,s ɪ ŋ k,23
spare,s p ɛ ɹ,23
spencer,s p ɛ n s ɝ,23
stern,s t ɝ n,23
strategic,s t ɹ ə t i dʒ ɪ k,23
stressed,s t ɹ ɛ s t,23
stuck,s t ʌ k,23
substances,s ʌ b s t ə n s ə z,23
substrate,s ʌ b s t ɹ eɪ t,23
suggestions,s ə ɡ dʒ ɛ s tʃ ə n z,23
sweat,s w ɛ t,23
tennessee,t ɛ n ə s i,23
thinks,θ ɪ ŋ k s,23
tie,t aɪ,23
trace,t ɹ eɪ s,23
ultimately,ʌ l t ə m ə t l i,23
unexpected,ʌ n ɪ k s p ɛ k t ɪ d,23
variations,v ɛ ɹ i eɪ ʃ ə n z,23
victor,v ɪ k t ɝ,23
wake,w eɪ k,23
westminster,w ɛ s t m ɪ n s t ɝ,23
whisky,w ɪ s k i,23
whispered,w ɪ s p ɝ d,23
worn,w ɔ ɹ n,23
wounded,w u n d ə d,23
adding,æ d ɪ ŋ,22
ah,ɑ,22
alaska,ə l æ s k ə,22
alienation,eɪ l i ə n eɪ ʃ ə n,22
altered,ɔ l t ɝ d,22
ambassador,æ m b æ s ə d ɝ,22
ambiguous,æ m b ɪ ɡ j u ə s,22
appreciation,ə p ɹ i ʃ i eɪ ʃ ə n,22
arbitrary,ɑ ɹ b ə t ɹ ɛ ɹ i,22
architect,ɑ ɹ k ə t ɛ k t,22
attacks,ə t æ k s,22
aunt,æ n t,22
auto,ɔ t oʊ,22
autumn,ɔ t ə m,22
backward,b æ k w ɝ d,22
balanced,b æ l ə n s t,22
baltimore,b ɔ l t ə m ɔ ɹ,22
belongs,b ɪ l ɔ ŋ z,22
bid,b ɪ d,22
blues,b l u z,22
bobbie,b ɑ b i,22
bombers,b ɑ m ɝ z,22
bother,b ɑ ð ɝ,22
capabilities,k eɪ p ə b ɪ l ə t i z,22
capitol,k æ p ɪ t ə l,22
carries,k æ ɹ i z,22
casual,k æ ʒ ə w ə l,22
chart,tʃ ɑ ɹ t,22
chiefly,tʃ i f l i,22
complained,k ə m p l eɪ n d,22
congressional,k ə n ɡ ɹ ɛ ʃ ə n ə l,22
conspiracy,k ə n s p ɪ ɹ ə s i,22
convenient,k ə n v i n j ə n t,22
dealt,d ɛ l t,22
deegan,d i ɡ ə n,22
describes,d ɪ s k ɹ aɪ b z,22
desperately,d ɛ s p ɝ ə t l i,22
destiny,d ɛ s t ə n i,22
di,d i,22
doubtful,d aʊ t f ə l,22
dressing,d ɹ ɛ s ɪ ŋ,22
drinks,d ɹ ɪ ŋ k s,22
earliest,ɝ l i ə s t,22
economical,ɛ k ə n ɑ m ɪ k ə l,22
eighteenth,eɪ t i n θ,22
elaine,ɪ l eɪ n,22
eliminated,ɪ l ɪ m ə n eɪ t ə d,22
empire,ɛ m p aɪ ɝ,22
engagement,ɛ n ɡ eɪ dʒ m ə n t,22
exhibition,ɛ k s ə b ɪ ʃ ə n,22
expects,ɪ k s p ɛ k t s,22
fault,f ɔ l t,22
foams,f oʊ m z,22
forests,f ɔ ɹ ə s t s,22
formulas,f ɔ ɹ m j ə l ə z,22
fortunate,f ɔ ɹ tʃ ə n ə t,22
freely,f ɹ i l i,22
frequency,f ɹ i k w ə n s i,22
gang,ɡ æ ŋ,22
grows,ɡ ɹ oʊ z,22
gulf,ɡ ʌ l f,22
herd,h ɝ d,22
hide,h aɪ d,22
hits,h ɪ t s,22
hypothalamic,h aɪ p oʊ θ ə l æ m ɪ k,22
implications,ɪ m p l ə k eɪ ʃ ə n z,22
insight,ɪ n s aɪ t,22
intentions,ɪ n t ɛ n tʃ ə n z,22
investigations,ɪ n v ɛ s t ə ɡ eɪ ʃ ə n z,22
joke,dʒ oʊ k,22
laughter,l æ f t ɝ,22
lo,l oʊ,22
loaded,l oʊ d ə d,22
loyalty,l ɔɪ ə l t i,22
meanings,m i n ɪ ŋ z,22
melting,m ɛ l t ɪ ŋ,22
merchants,m ɝ tʃ ə n t s,22
mess,m ɛ s,22
miami,m aɪ æ m i,22
miller,m ɪ l ɝ,22
moderate,m ɑ d ɝ ə t,22
motive,m oʊ t ɪ v,22
nerves,n ɝ v z,22
novels,n ɑ v ə l z,22
obligations,ɑ b l ə ɡ eɪ ʃ ə n z,22
occasions,ə k eɪ ʒ ə n z,22
overseas,oʊ v ɝ s i z,22
ownership,oʊ n ɝ ʃ ɪ p,22
palm,p ɑ m,22
panic,p æ n ɪ k,22
participate,p ɑ ɹ t ɪ s ə p eɪ t,22
patience,p eɪ ʃ ə n s,22
physics,f ɪ z ɪ k s,22
physiological,f ɪ z i ə l ɑ dʒ ɪ k ə l,22
pitch,p ɪ tʃ,22
planets,p l æ n ə t s,22
plate,p l eɪ t,22
possessed,p ə z ɛ s t,22
posts,p oʊ s t s,22
preparing,p ɹ i p ɛ ɹ ɪ ŋ,22
racing,ɹ eɪ s ɪ ŋ,22
ralph,ɹ æ l f,22
recommendations,ɹ ɛ k ə m ə n d eɪ ʃ ə n z,22
refund,ɹ ɪ f ʌ n d,22
regularly,ɹ ɛ ɡ j ə l ɝ l i,22
rehabilitation,ɹ i h ə b ɪ l ə t eɪ ʃ ə n,22
relatives,ɹ ɛ l ə t ɪ v z,22
reliable,ɹ ɪ l aɪ ə b ə l,22
resist,ɹ ɪ z ɪ s t,22
respects,ɹ ɪ s p ɛ k t s,22
retained,ɹ ɪ t eɪ n d,22
rhythm,ɹ ɪ ð ə m,22
sampling,s æ m p l ɪ ŋ,22
sandburg,s æ n d b ɝ ɡ,22
savage,s æ v ə dʒ,22
servants,s ɝ v ə n t s,22
shell,ʃ ɛ l,22
sighed,s aɪ d,22
sixties,s ɪ k s t i z,22
soap,s oʊ p,22
souls,s oʊ l z,22
spectacular,s p ɛ k t æ k j ə l ɝ,22
sphere,s f ɪ ɹ,22
sponsor,s p ɑ n s ɝ,22
statistics,s t ə t ɪ s t ɪ k s,22
steadily,s t ɛ d ə l i,22
sticks,s t ɪ k s,22
strategy,s t ɹ æ t ə dʒ i,22
substitute,s ʌ b s t ə t u t,22
successes,s ə k s ɛ s ə z,22
suited,s u t ə d,22
surrender,s ɝ ɛ n d ɝ,22
targets,t ɑ ɹ ɡ ə t s,22
teams,t i m z,22
thrust,θ ɹ ʌ s t,22
tip,t ɪ p,22
tire,t aɪ ɝ,22
totally,t oʊ t ə l i,22
traveled,t ɹ æ v ə l d,22
triumph,t ɹ aɪ ə m f,22
troubles,t ɹ ʌ b ə l z,22
trucks,t ɹ ʌ k s,22
uncertain,ə n s ɝ t ə n,22
uneasy,ə n i z i,22
unfortunate,ə n f ɔ ɹ tʃ ə n ə t,22
valid,v æ l ə d,22
vienna,v i ɛ n ə,22
voluntary,v ɑ l ə n t ɛ ɹ i,22
warned,w ɔ ɹ n d,22
wealth,w ɛ l θ,22
yelled,j ɛ l d,22
acceptable,æ k s ɛ p t ə b ə l,21
accepting,æ k s ɛ p t ɪ ŋ,21
addresses,æ d ɹ ɛ s ɪ z,21
anniversary,æ n ə v ɝ s ɝ i,21
aristotle,ɛ ɹ ə s t ɑ t ə l,21
associate,ə s oʊ s i ə t,21
availability,ə v eɪ l ə b ɪ l ə t i,21
beam,b i m,21
behalf,b ɪ h æ f,21
belgians,b ɛ l dʒ ə n z,21
ben,b ɛ n,21
bold,b oʊ l d,21
breathing,b ɹ i ð ɪ ŋ,21
bridget,b ɹ ɪ dʒ ə t,21
bullets,b ʊ l ə t s,21
certainty,s ɝ t ə n t i,21
characterized,k ɛ ɹ ə k t ɝ aɪ z d,21
cholesterol,k ə l ɛ s t ɝ ɔ l,21
circular,s ɝ k j ə l ɝ,21
classification,k l æ s ə f ə k eɪ ʃ ə n,21
colonial,k ə l oʊ n i ə l,21
colorful,k ʌ l ɝ f ə l,21
commodities,k ə m ɑ d ə t i z,21
competent,k ɑ m p ə t ɪ n t,21
complement,k ɑ m p l ə m ə n t,21
computed,k ə m p j u t ə d,21
congressman,k ɑ ŋ ɡ ɹ ə s m ə n,21
conversion,k ə n v ɝ ʒ ə n,21
cope,k oʊ p,21
crack,k ɹ æ k,21
crises,k ɹ aɪ s i z,21
cromwell,k ɹ ɑ m w ə l,21
crossing,k ɹ ɔ s ɪ ŋ,21
dare,d ɛ ɹ,21
dedication,d ɛ d ə k eɪ ʃ ə n,21
defend,d ɪ f ɛ n d,21
definitely,d ɛ f ə n ə t l i,21
delay,d ɪ l eɪ,21
desert,d ɛ z ɝ t,21
despair,d ɪ s p ɛ ɹ,21
detroit,d ɪ t ɹ ɔɪ t,21
diet,d aɪ ə t,21
dishes,d ɪ ʃ ə z,21
displayed,d ɪ s p l eɪ d,21
displays,d ɪ s p l eɪ z,21
drawings,d ɹ ɔ ɪ ŋ z,21
dynamic,d aɪ n æ m ɪ k,21
educated,ɛ dʒ ə k eɪ t ə d,21
enjoyment,ɛ n dʒ ɔɪ m ə n t,21
envelope,ɛ n v ə l oʊ p,21
fans,f æ n z,21
faulkner,f ɔ k n ɝ,21
flash,f l æ ʃ,21
fluid,f l u ə d,21
forming,f ɔ ɹ m ɪ ŋ,21
francis,f ɹ æ n s ə s,21
garage,ɡ ɝ ɑ ʒ,21
gentlemen,dʒ ɛ n t ə l m ɪ n,21
giants,dʒ aɪ ə n t s,21
glory,ɡ l ɔ ɹ i,21
governing,ɡ ʌ v ɝ n ɪ ŋ,21
habits,h æ b ə t s,21
helpless,h ɛ l p l ə s,21
hen,h ɛ n,21
heritage,h ɛ ɹ ə t ə dʒ,21
heroic,h ɪ ɹ oʊ ɪ k,21
hesitated,h ɛ z ɪ t eɪ t ɪ d,21
hoag,h oʊ ɡ,21
ideological,aɪ d i ə l ɑ dʒ ɪ k ə l,21
inclined,ɪ n k l aɪ n d,21
indirect,ɪ n d ɝ ɛ k t,21
inspection,ɪ n s p ɛ k ʃ ə n,21
intermediate,ɪ n t ɝ m i d i ɪ t,21
intimate,ɪ n t ə m ə t,21
jail,dʒ eɪ l,21
johnston,dʒ ɑ n s t ə n,21
joyce,dʒ ɔɪ s,21
kay,k eɪ,21
keeps,k i p s,21
keith,k i θ,21
killer,k ɪ l ɝ,21
launched,l ɔ n tʃ t,21
linear,l ɪ n i ɝ,21
loop,l u p,21
lowered,l oʊ ɝ d,21
lucky,l ʌ k i,21
luxury,l ʌ ɡ ʒ ɝ i,21
marble,m ɑ ɹ b ə l,21
mars,m ɑ ɹ z,21
masses,m æ s ə z,21
mate,m eɪ t,21
maude,m ɔ d,21
melody,m ɛ l ə d i,21
merger,m ɝ dʒ ɝ,21
michigan,m ɪ ʃ ɪ ɡ ə n,21
milligrams,m ɪ l ə ɡ ɹ æ m z,21
missouri,m ə z ʊ ɹ i,21
mode,m oʊ d,21
monument,m ɑ n j u m ə n t,21
morris,m ɔ ɹ ə s,21
neat,n i t,21
nuts,n ʌ t s,21
obliged,ə b l aɪ dʒ d,21
occurring,ə k ɝ ɪ ŋ,21
painter,p eɪ n t ɝ,21
particle,p ɑ ɹ t ə k ə l,21
partisan,p ɑ ɹ t ə z ə n,21
passengers,p æ s ə n dʒ ɝ z,21
pause,p ɔ z,21
persuaded,p ɝ s w eɪ d ə d,21
pertinent,p ɝ t ɪ n ɪ n t,21
philip,f ɪ l ə p,21
pitcher,p ɪ tʃ ɝ,21
planet,p l æ n ə t,21
planetary,p l æ n ə t ɛ ɹ i,21
port,p ɔ ɹ t,21
possession,p ə z ɛ ʃ ə n,21
prairie,p ɹ ɛ ɹ i,21
prisoners,p ɹ ɪ z ə n ɝ z,21
procurement,p ɹ oʊ k j ʊ ɹ m ə n t,21
profits,p ɹ ɑ f ɪ t s,21
prospective,p ɹ ə s p ɛ k t ɪ v,21
protein,p ɹ oʊ t i n,21
punishment,p ʌ n ɪ ʃ m ə n t,21
questioning,k w ɛ s tʃ ə n ɪ ŋ,21
races,ɹ eɪ s ə z,21
rang,ɹ æ ŋ,21
rent,ɹ ɛ n t,21
replacement,ɹ ɪ p l eɪ s m ə n t,21
resolved,ɹ i z ɑ l v d,21
respectable,ɹ ɪ s p ɛ k t ə b ə l,21
respond,ɹ ɪ s p ɑ n d,21
reveals,ɹ ɪ v i l z,21
reverend,ɹ ɛ v ɝ ə n d,21
revolutionary,ɹ ɛ v ə l u ʃ ə n ɛ ɹ i,21
rico,ɹ i k oʊ,21
russ,ɹ ʌ s,21
saving,s eɪ v ɪ ŋ,21
scared,s k ɛ ɹ d,21
screw,s k ɹ u,21
shaking,ʃ eɪ k ɪ ŋ,21
shame,ʃ eɪ m,21
shining,ʃ aɪ n ɪ ŋ,21
shu,ʃ u,21
sidewalk,s aɪ d w ɔ k,21
sixty,s ɪ k s t i,21
skirt,s k ɝ t,21
smart,s m ɑ ɹ t,21
socialist,s oʊ ʃ ə l ə s t,21
speeches,s p i tʃ ə z,21
springs,s p ɹ ɪ ŋ z,21
startled,s t ɑ ɹ t ə l d,21
steele,s t i l,21
stiff,s t ɪ f,21
stumbled,s t ʌ m b ə l d,21
submitted,s ə b m ɪ t ə d,21
summary,s ʌ m ɝ i,21
surrounded,s ɝ aʊ n d ə d,21
suspected,s ə s p ɛ k t ə d,21
tale,t eɪ l,21
tales,t eɪ l z,21
taxpayers,t æ k s p eɪ ɝ z,21
taylor,t eɪ l ɝ,21
telegraph,t ɛ l ə ɡ ɹ æ f,21
theirs,ð ɛ ɹ z,21
theoretical,θ i ɝ ɛ t ɪ k ə l,21
thorough,θ ɝ oʊ,21
traditions,t ɹ ə d ɪ ʃ ə n z,21
trends,t ɹ ɛ n d z,21
tsunami,t s u n ɑ m i,21
ugly,ʌ ɡ l i,21
unlikely,ə n l aɪ k l i,21
urge,ɝ dʒ,21
urgent,ɝ dʒ ə n t,21
utopian,j u t oʊ p i ə n,21
verbal,v ɝ b ə l,21
vermont,v ɝ m ɑ n t,21
vernon,v ɝ n ə n,21
wagner,w æ ɡ n ɝ,21
warwick,w ɔ ɹ w ɪ k,21
wheels,w i l z,21
winds,w ɪ n d z,21
witnesses,w ɪ t n ə s ə z,21
wives,w aɪ v z,21
wondering,w ʌ n d ɝ ɪ ŋ,21
abel,eɪ b ə l,20
accordance,ə k ɔ ɹ d ə n s,20
adjustments,ə dʒ ʌ s t m ə n t s,20
alabama,æ l ə b æ m ə,20
alike,ə l aɪ k,20
allen,æ l ə n,20
alliance,ə l aɪ ə n s,20
amazing,ə m eɪ z ɪ ŋ,20
anticipation,æ n t ɪ s ə p eɪ ʃ ə n,20
anyhow,ɛ n i h aʊ,20
arnold,ɑ ɹ n ə l d,20
aroused,ɝ aʊ z d,20
assessors,ə s ɛ s ɝ z,20
attain,ə t eɪ n,20
authentic,ə θ ɛ n t ɪ k,20
awake,ə w eɪ k,20
basically,b eɪ s ɪ k l i,20
bet,b ɛ t,20
binding,b aɪ n d ɪ ŋ,20
biological,b aɪ ə l ɑ dʒ ɪ k ə l,20
blonde,b l ɑ n d,20
bones,b oʊ n z,20
boots,b u t s,20
borden,b ɔ ɹ d ə n,20
border,b ɔ ɹ d ɝ,20
boss,b ɑ s,20
brushed,b ɹ ʌ ʃ t,20
buck,b ʌ k,20
bundle,b ʌ n d ə l,20
cafe,k ə f eɪ,20
cape,k eɪ p,20
cathy,k æ θ i,20
chapel,tʃ æ p ə l,20
cheek,tʃ i k,20
clock,k l ɑ k,20
clothing,k l oʊ ð ɪ ŋ,20
compromise,k ɑ m p ɹ ə m aɪ z,20
conditioned,k ə n d ɪ ʃ ə n d,20
confirmed,k ə n f ɝ m d,20
converted,k ə n v ɝ t ɪ d,20
convictions,k ə n v ɪ k ʃ ə n z,20
cooperative,k oʊ ɑ p ɝ eɪ t ɪ v,20
crash,k ɹ æ ʃ,20
crawled,k ɹ ɔ l d,20
cream,k ɹ i m,20
creatures,k ɹ i tʃ ɝ z,20
crop,k ɹ ɑ p,20
decent,d i s ə n t,20
disposal,d ɪ s p oʊ z ə l,20
distinctive,d ɪ s t ɪ ŋ k t ɪ v,20
doc,d ɑ k,20
dolores,d ə l ɔ ɹ ɪ s,20
dominated,d ɑ m ə n eɪ t ə d,20
donald,d ɑ n ə l d,20
el,ɛ l,20
emphasize,ɛ m f ə s aɪ z,20
endless,ɛ n d l ə s,20
enforced,ɛ n f ɔ ɹ s t,20
expanded,ɪ k s p æ n d ə d,20
explains,ɪ k s p l eɪ n z,20
fantastic,f æ n t æ s t ɪ k,20
fascinating,f æ s ə n eɪ t ɪ ŋ,20
figured,f ɪ ɡ j ɝ d,20
fitted,f ɪ t ə d,20
florida,f l ɔ ɹ ə d ə,20
foil,f ɔɪ l,20
fortunately,f ɔ ɹ tʃ ə n ə t l i,20
founded,f aʊ n d ə d,20
fractions,f ɹ æ k ʃ ə n z,20
freddy,f ɹ ɛ d i,20
gather,ɡ æ ð ɝ,20
grabbed,ɡ ɹ æ b d,20
grains,ɡ ɹ eɪ n z,20
grants,ɡ ɹ æ n t s,20
greeted,ɡ ɹ i t ə d,20
grip,ɡ ɹ ɪ p,20
guided,ɡ aɪ d ə d,20
guys,ɡ aɪ z,20
happily,h æ p ə l i,20
hatred,h eɪ t ɹ ə d,20
hidden,h ɪ d ə n,20
historians,h ɪ s t ɔ ɹ i ə n z,20
hospitals,h ɑ s p ɪ t ə l z,20
hotels,h oʊ t ɛ l z,20
illness,ɪ l n ə s,20
improvements,ɪ m p ɹ u v m ə n t s,20
impulse,ɪ m p ə l s,20
indication,ɪ n d ə k eɪ ʃ ə n,20
injured,ɪ n dʒ ɝ d,20
input,ɪ n p ʊ t,20
intervention,ɪ n t ɝ v ɛ n tʃ ə n,20
invention,ɪ n v ɛ n ʃ ə n,20
invitation,ɪ n v ɪ t eɪ ʃ ə n,20
judges,dʒ ʌ dʒ ɪ z,20
jungle,dʒ ʌ ŋ ɡ ə l,20
landscape,l æ n d s k eɪ p,20
laura,l ɔ ɹ ə,20
lean,l i n,20
leaped,l ɛ p t,20
legislators,l ɛ dʒ ə s l eɪ t ɝ z,20
listeners,l ɪ s ə n ɝ z,20
lobby,l ɑ b i,20
loud,l aʊ d,20
lungs,l ʌ ŋ z,20
manage,m æ n ə dʒ,20
manhattan,m æ n h æ t ə n,20
mathematics,m æ θ ə m æ t ɪ k s,20
merchant,m ɝ tʃ ə n t,20
mercy,m ɝ s i,20
michelangelo,m aɪ k ə l æ n dʒ ə l oʊ,20
minority,m aɪ n ɔ ɹ ə t i,20
motives,m oʊ t ɪ v z,20
mustard,m ʌ s t ɝ d,20
negotiations,n ə ɡ oʊ ʃ i eɪ ʃ ə n z,20
nest,n ɛ s t,20
newer,n u ɝ,20
ninth,n aɪ n θ,20
notable,n oʊ t ə b ə l,20
notte,n ɑ t,20
nude,n u d,20
observers,ə b z ɝ v ɝ z,20
oedipus,ɛ d ɪ p ə s,20
okay,oʊ k eɪ,20
orderly,ɔ ɹ d ɝ l i,20
overwhelming,oʊ v ɝ w ɛ l m ɪ ŋ,20
package,p æ k ə dʒ,20
parks,p ɑ ɹ k s,20
passages,p æ s ə dʒ ə z,20
peered,p ɪ ɹ d,20
physically,f ɪ z ɪ k ə l i,20
pioneer,p aɪ ə n ɪ ɹ,20
pipe,p aɪ p,20
plato,p l eɪ t oʊ,20
poverty,p ɑ v ɝ t i,20
probabilities,p ɹ ɑ b ə b ɪ l ə t i z,20
promises,p ɹ ɑ m ə s ə z,20
pupil,p j u p ə l,20
purchased,p ɝ tʃ ə s t,20
pursue,p ɝ s u,20
puts,p ʊ t s,20
quarrel,k w ɔ ɹ ə l,20
ranks,ɹ æ ŋ k s,20
reactionary,ɹ i æ k ʃ ə n ɛ ɹ i,20
receives,ɹ ə s i v z,20
relating,ɹ ɪ l eɪ t ɪ ŋ,20
renaissance,ɹ ɛ n ə s ɑ n s,20
repair,ɹ ɪ p ɛ ɹ,20
reporter,ɹ ɪ p ɔ ɹ t ɝ,20
residents,ɹ ɛ z ɪ d ə n t s,20
responded,ɹ ɪ s p ɑ n d ɪ d,20
retail,ɹ i t eɪ l,20
rises,ɹ aɪ z ə z,20
rush,ɹ ʌ ʃ,20
sailing,s eɪ l ɪ ŋ,20
sauce,s ɔ s,20
secrets,s i k ɹ ə t s,20
shadows,ʃ æ d oʊ z,20
sheriff,ʃ ɛ ɹ ə f,20
sixteen,s ɪ k s t i n,20
slide,s l aɪ d,20
slim,s l ɪ m,20
socialism,s oʊ ʃ ə l ɪ z ə m,20
solely,s oʊ l l i,20
solve,s ɑ l v,20
splendid,s p l ɛ n d ə d,20
stake,s t eɪ k,20
strikes,s t ɹ aɪ k s,20
strongest,s t ɹ ɔ ŋ ɡ ə s t,20
struggling,s t ɹ ʌ ɡ ə l ɪ ŋ,20
styles,s t aɪ l z,20
submarines,s ʌ b m ɝ i n z,20
suitcase,s u t k eɪ s,20
supplement,s ʌ p l ə m ə n t,20
tactics,t æ k t ɪ k s,20
temporarily,t ɛ m p ɝ ɛ ɹ ə l i,20
tent,t ɛ n t,20
theories,θ ɪ ɹ i z,20
thereafter,ð ɛ ɹ æ f t ɝ,20
tones,t oʊ n z,20
tooth,t u θ,20
tournament,t ʊ ɹ n ə m ə n t,20
transformation,t ɹ æ n s f ɝ m eɪ ʃ ə n,20
trap,t ɹ æ p,20
treaty,t ɹ i t i,20
trim,t ɹ ɪ m,20
twentieth,t w ɛ n t i ə θ,20
underlying,ʌ n d ɝ l aɪ ɪ ŋ,20
vacuum,v æ k j u m,20
voters,v oʊ t ɝ z,20
votes,v oʊ t s,20
warrant,w ɔ ɹ ə n t,20
wit,w ɪ t,20
worries,w ɝ i z,20
achievements,ə tʃ i v m ə n t s,19
addressed,ə d ɹ ɛ s t,19
affects,ə f ɛ k t s,19
airport,ɛ ɹ p ɔ ɹ t,19
allows,ə l aʊ z,19
ambition,æ m b ɪ ʃ ə n,19
amen,eɪ m ɛ n,19
appeals,ə p i l z,19
applies,ə p l aɪ z,19
arrest,ɝ ɛ s t,19
arrested,ɝ ɛ s t ə d,19
assert,ə s ɝ t,19
assurance,ə ʃ ʊ ɹ ə n s,19
attract,ə t ɹ æ k t,19
avoided,ə v ɔɪ d ə d,19
blowing,b l oʊ ɪ ŋ,19
brass,b ɹ æ s,19
broader,b ɹ ɔ d ɝ,19
businesses,b ɪ z n ə s ə z,19
canvas,k æ n v ə s,19
caution,k ɑ ʃ ə n,19
combinations,k ɑ m b ə n eɪ ʃ ə n z,19
commissioner,k ə m ɪ ʃ ə n ɝ,19
companion,k ə m p æ n j ə n,19
comprehensive,k ɑ m p ɹ i h ɛ n s ɪ v,19
condemned,k ə n d ɛ m d,19
consistently,k ə n s ɪ s t ə n t l i,19
continental,k ɑ n t ə n ɛ n t ə l,19
convenience,k ə n v i n j ə n s,19
corporate,k ɔ ɹ p ɝ ə t,19
cottage,k ɑ t ə dʒ,19
crown,k ɹ aʊ n,19
cuban,k j u b ə n,19
curves,k ɝ v z,19
dairy,d ɛ ɹ i,19
damned,d æ m d,19
dated,d eɪ t ɪ d,19
daytime,d eɪ t aɪ m,19
deadly,d ɛ d l i,19
decisive,d ɪ s aɪ s ɪ v,19
delivery,d ɪ l ɪ v ɝ i,19
demanding,d ɪ m æ n d ɪ ŋ,19
depths,d ɛ p θ s,19
devotion,d ɪ v oʊ ʃ ə n,19
dim,d ɪ m,19
directors,d ɝ ɛ k t ɝ z,19
discharge,d ɪ s tʃ ɑ ɹ dʒ,19
diseases,d ɪ z i z ə z,19
distances,d ɪ s t ə n s ə z,19
distinguish,d ɪ s t ɪ ŋ ɡ w ɪ ʃ,19
documents,d ɑ k j ə m ə n t s,19
drank,d ɹ æ ŋ k,19
dreamed,d ɹ i m d,19
earnings,ɝ n ɪ ŋ z,19
elementary,ɛ l ə m ɛ n t ɹ i,19
emperor,ɛ m p ɝ ɝ,19
enforcement,ɛ n f ɔ ɹ s m ə n t,19
entries,ɛ n t ɹ i z,19
essay,ɛ s eɪ,19
ethics,ɛ θ ɪ k s,19
eve,i v,19
exceed,ɪ k s i d,19
exceptional,ɪ k s ɛ p ʃ ə n ə l,19
fatal,f eɪ t ə l,19
fathers,f ɑ ð ɝ z,19
fats,f æ t s,19
fever,f i v ɝ,19
filing,f aɪ l ɪ ŋ,19
flood,f l ʌ d,19
frederick,f ɹ ɛ d ɹ ɪ k,19
fury,f j ʊ ɹ i,19
gains,ɡ eɪ n z,19
glued,ɡ l u d,19
guards,ɡ ɑ ɹ d z,19
guitar,ɡ ɪ t ɑ ɹ,19
ham,h æ m,19
haney,h eɪ n i,19
hay,h eɪ,19
hostile,h ɑ s t ə l,19
ignore,ɪ ɡ n ɔ ɹ,19
immortality,ɪ m ɔ ɹ t æ l ɪ t i,19
imposed,ɪ m p oʊ z d,19
individually,ɪ n d ɪ v ɪ dʒ u ə l i,19
infinite,ɪ n f ə n ə t,19
insistence,ɪ n s ɪ s t ə n s,19
instantly,ɪ n s t ə n t l i,19
interviews,ɪ n t ɝ v j u z,19
label,l eɪ b ə l,19
lacked,l æ k t,19
ladder,l æ d ɝ,19
lap,l æ p,19
lesser,l ɛ s ɝ,19
lid,l ɪ d,19
likes,l aɪ k s,19
livestock,l aɪ v s t ɑ k,19
lodge,l ɑ dʒ,19
lover,l ʌ v ɝ,19
loves,l ʌ v z,19
ma,m ɑ,19
makers,m eɪ k ɝ z,19
males,m eɪ l z,19
mechanics,m ə k æ n ɪ k s,19
mexico,m ɛ k s ə k oʊ,19
midst,m ɪ d s t,19
movable,m u v ə b ə l,19
murderer,m ɝ d ɝ ɝ,19
naive,n aɪ i v,19
neatly,n i t l i,19
nonspecific,n ɑ n s p ə s ɪ f ɪ k,19
numerical,n u m ɛ ɹ ə k ə l,19
optical,ɑ p t ɪ k ə l,19
orthodox,ɔ ɹ θ ə d ɑ k s,19
packed,p æ k t,19
pamela,p æ m ə l ə,19
patents,p æ t ə n t s,19
paula,p ɔ l ə,19
plantation,p l æ n t eɪ ʃ ə n,19
policeman,p ə l i s m ə n,19
polish,p ɑ l ɪ ʃ,19
politicians,p ɑ l ə t ɪ ʃ ə n z,19
preserved,p ɹ ə z ɝ v d,19
produces,p ɹ ə d u s ə z,19
puzzled,p ʌ z ə l d,19
ray,ɹ eɪ,19
reactivity,ɹ i æ k t ɪ v ə t i,19
realm,ɹ ɛ l m,19
realtors,ɹ i ə l t ɝ z,19
relax,ɹ ɪ l æ k s,19
remainder,ɹ ɪ m eɪ n d ɝ,19
respective,ɹ ɪ s p ɛ k t ɪ v,19
resting,ɹ ɛ s t ɪ ŋ,19
rid,ɹ ɪ d,19
ridiculous,ɹ ɪ d ɪ k j ə l ə s,19
rob,ɹ ɑ b,19
rolling,ɹ oʊ l ɪ ŋ,19
rourke,ɹ ɔ ɹ k,19
rousseau,ɹ u s oʊ,19
rugged,ɹ ʌ ɡ ə d,19
salem,s eɪ l ə m,19
salesmen,s eɪ l z m ɪ n,19
sera,s ɪ ɹ ə,19
servant,s ɝ v ə n t,19
shipping,ʃ ɪ p ɪ ŋ,19
shocked,ʃ ɑ k t,19
shorter,ʃ ɔ ɹ t ɝ,19
situated,s ɪ tʃ u eɪ t ɪ d,19
sketches,s k ɛ tʃ ə z,19
slender,s l ɛ n d ɝ,19
slip,s l ɪ p,19
slope,s l oʊ p,19
smelled,s m ɛ l d,19
snapped,s n æ p t,19
sober,s oʊ b ɝ,19
solved,s ɑ l v d,19
span,s p æ n,19
specialists,s p ɛ ʃ ə l ə s t s,19
spell,s p ɛ l,19
startling,s t ɑ ɹ t l ɪ ŋ,19
straightened,s t ɹ eɪ t ə n d,19
stresses,s t ɹ ɛ s ə z,19
string,s t ɹ ɪ ŋ,19
stroke,s t ɹ oʊ k,19
supervision,s u p ɝ v ɪ ʒ ə n,19
